"Capítulo CID-10";"Óbitos p/Ocorrênc"
"I.   Algumas doenças infecciosas e parasitárias";54679
"II.  Neoplasias (tumores)";227920
"III. Doenças sangue órgãos hemat e transt imunitár";6601
"IV.  Doenças endócrinas nutricionais e metabólicas";81365
"V.   Transtornos mentais e comportamentais";13697
"VI.  Doenças do sistema nervoso";41035
"VII. Doenças do olho e anexos";21
"VIII.Doenças do ouvido e da apófise mastóide";169
"IX.  Doenças do aparelho circulatório";357770
"X.   Doenças do aparelho respiratório";155191
"XI.  Doenças do aparelho digestivo";67316
"XII. Doenças da pele e do tecido subcutâneo";6273
"XIII.Doenças sist osteomuscular e tec conjuntivo";6153
"XIV. Doenças do aparelho geniturinário";43428
"XV.  Gravidez parto e puerpério";1862
"XVI. Algumas afec originadas no período perinatal";20764
"XVII.Malf cong deformid e anomalias cromossômicas";11156
"XVIII.Sint sinais e achad anorm ex clín e laborat";70505
"XX.  Causas externas de morbidade e mortalidade";150814
"Total";1316719
