"Capítulo CID-10";"Óbitos p/Ocorrênc"
"I.   Algumas doenças infecciosas e parasitárias";54874
"II.  Neoplasias (tumores)";221821
"III. Doenças sangue órgãos hemat e transt imunitár";6622
"IV.  Doenças endócrinas nutricionais e metabólicas";79662
"V.   Transtornos mentais e comportamentais";12858
"VI.  Doenças do sistema nervoso";38786
"VII. Doenças do olho e anexos";19
"VIII.Doenças do ouvido e da apófise mastóide";179
"IX.  Doenças do aparelho circulatório";358882
"X.   Doenças do aparelho respiratório";155620
"XI.  Doenças do aparelho digestivo";66052
"XII. Doenças da pele e do tecido subcutâneo";6100
"XIII.Doenças sist osteomuscular e tec conjuntivo";5912
"XIV. Doenças do aparelho geniturinário";40470
"XV.  Gravidez parto e puerpério";1874
"XVI. Algumas afec originadas no período perinatal";21458
"XVII.Malf cong deformid e anomalias cromossômicas";10995
"XVIII.Sint sinais e achad anorm ex clín e laborat";71822
"XX.  Causas externas de morbidade e mortalidade";158657
"Total";1312663
