"Capítulo CID-10";"Óbitos p/Ocorrênc"
"I.   Algumas doenças infecciosas e parasitárias";57188
"II.  Neoplasias (tumores)";215217
"III. Doenças sangue órgãos hemat e transt imunitár";6878
"IV.  Doenças endócrinas nutricionais e metabólicas";78075
"V.   Transtornos mentais e comportamentais";12674
"VI.  Doenças do sistema nervoso";36870
"VII. Doenças do olho e anexos";20
"VIII.Doenças do ouvido e da apófise mastóide";173
"IX.  Doenças do aparelho circulatório";362091
"X.   Doenças do aparelho respiratório";158041
"XI.  Doenças do aparelho digestivo";66044
"XII. Doenças da pele e do tecido subcutâneo";5874
"XIII.Doenças sist osteomuscular e tec conjuntivo";5787
"XIV. Doenças do aparelho geniturinário";39367
"XV.  Gravidez parto e puerpério";1814
"XVI. Algumas afec originadas no período perinatal";21049
"XVII.Malf cong deformid e anomalias cromossômicas";10882
"XVIII.Sint sinais e achad anorm ex clín e laborat";75869
"XX.  Causas externas de morbidade e mortalidade";155861
"Total";1309774
